latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-29.32981,-61.96483,300.27,1.01,1,2025-07-02,1915,Aqua,MODIS,33,6.1NRT,289.57,3.93,D
-29.19223,-61.13226,303.72,1.05,1.02,2025-07-02,1915,Aqua,MODIS,57,6.1NRT,287.68,6.97,D
-29.19389,-61.14277,300.86,1.05,1.02,2025-07-02,1915,Aqua,MODIS,42,6.1NRT,287.74,5.31,D
-29.15245,-60.99882,309.72,1.06,1.03,2025-07-02,1915,Aqua,MODIS,69,6.1NRT,287.75,11.01,D
-29.13438,-61.0026,302.16,1.06,1.03,2025-07-02,1915,Aqua,MODIS,38,6.1NRT,287.08,5.57,D
-29.13575,-61.12903,302.28,1.05,1.02,2025-07-02,1915,Aqua,MODIS,52,6.1NRT,288.45,6.02,D
-29.09207,-61.02914,308.82,1.06,1.03,2025-07-02,1915,Aqua,MODIS,68,6.1NRT,287.79,10.74,D
-28.7206,-58.98434,300.45,1.31,1.13,2025-07-02,1915,Aqua,MODIS,37,6.1NRT,285.45,8.54,D
-29.08662,-61.40346,302.22,1.03,1.02,2025-07-02,1915,Aqua,MODIS,51,6.1NRT,288.82,5.8,D
-28.93665,-60.69086,300.75,1.09,1.04,2025-07-02,1915,Aqua,MODIS,41,6.1NRT,286.72,5.73,D
-28.87226,-60.57576,306.72,1.1,1.04,2025-07-02,1915,Aqua,MODIS,64,6.1NRT,287.85,9.65,D
-28.87402,-60.58673,301.62,1.1,1.04,2025-07-02,1915,Aqua,MODIS,48,6.1NRT,286.7,6.38,D
-28.9325,-61.5432,337.42,1.03,1.01,2025-07-02,1915,Aqua,MODIS,90,6.1NRT,291.41,42.15,D
-28.93409,-61.55349,311.1,1.03,1.01,2025-07-02,1915,Aqua,MODIS,71,6.1NRT,289.59,11.7,D
-28.8752,-61.35204,315.99,1.04,1.02,2025-07-02,1915,Aqua,MODIS,76,6.1NRT,287.92,15.68,D
-28.87683,-61.36244,328.71,1.04,1.02,2025-07-02,1915,Aqua,MODIS,86,6.1NRT,289.5,29.67,D
-28.73146,-61.03047,301.45,1.06,1.03,2025-07-02,1915,Aqua,MODIS,47,6.1NRT,290.51,4.75,D
-27.81399,-56.15367,304.86,2.07,1.4,2025-07-02,1915,Aqua,MODIS,60,6.1NRT,284.51,24.63,D
-29.10196,-63.84303,308.19,1.03,1.02,2025-07-02,1915,Aqua,MODIS,67,6.1NRT,291.11,9.06,D
-28.85257,-62.41781,300.57,1,1,2025-07-02,1915,Aqua,MODIS,39,6.1NRT,289.68,3.75,D
-28.56866,-60.64695,348.52,1.1,1.05,2025-07-02,1915,Aqua,MODIS,95,6.1NRT,290.49,68.5,D
-28.57043,-60.6579,321.16,1.1,1.04,2025-07-02,1915,Aqua,MODIS,81,6.1NRT,288.87,22.23,D
-28.5722,-60.66883,307.07,1.1,1.04,2025-07-02,1915,Aqua,MODIS,65,6.1NRT,287.97,9.81,D
-28.55946,-60.6489,342.47,1.1,1.05,2025-07-02,1915,Aqua,MODIS,88,6.1NRT,290.77,53.74,D
-28.56124,-60.65984,378.54,1.1,1.04,2025-07-02,1915,Aqua,MODIS,100,6.1NRT,293.63,168.05,D
-28.56301,-60.67078,359.16,1.1,1.04,2025-07-02,1915,Aqua,MODIS,99,6.1NRT,290.74,95.7,D
-28.56479,-60.68171,328.38,1.1,1.04,2025-07-02,1915,Aqua,MODIS,86,6.1NRT,288.75,30.44,D
-28.72315,-62.29478,310.65,1,1,2025-07-02,1915,Aqua,MODIS,70,6.1NRT,290.52,9.74,D
-28.72466,-62.30483,316.8,1,1,2025-07-02,1915,Aqua,MODIS,77,6.1NRT,291.79,14.69,D
-28.71432,-62.29651,333,1,1,2025-07-02,1915,Aqua,MODIS,88,6.1NRT,291.6,31.68,D
-28.71582,-62.30656,331.05,1,1,2025-07-02,1915,Aqua,MODIS,87,6.1NRT,293.31,29.02,D
-27.49747,-55.64471,318.28,2.29,1.46,2025-07-02,1915,Aqua,MODIS,78,6.1NRT,286.15,58.38,D
-28.7073,-62.49952,301.16,1,1,2025-07-02,1915,Aqua,MODIS,45,6.1NRT,290.1,4,D
-27.50012,-55.64875,314.37,2.29,1.46,2025-07-02,1915,Aqua,MODIS,75,6.1NRT,286.34,49.95,D
-28.49683,-61.23878,313.88,1.05,1.02,2025-07-02,1915,Aqua,MODIS,74,6.1NRT,289.16,14.25,D
-28.35093,-60.73919,309.4,1.1,1.04,2025-07-02,1915,Aqua,MODIS,41,6.1NRT,286.69,9.78,D
-28.32999,-60.71637,310.9,1.1,1.05,2025-07-02,1915,Aqua,MODIS,57,6.1NRT,287.99,11.46,D
-28.44071,-61.83202,318.95,1.02,1.01,2025-07-02,1915,Aqua,MODIS,79,6.1NRT,288.64,18.06,D
-28.21509,-60.63292,315.09,1.11,1.05,2025-07-02,1915,Aqua,MODIS,75,6.1NRT,287.47,17.12,D
-28.21688,-60.64394,309.94,1.11,1.05,2025-07-02,1915,Aqua,MODIS,69,6.1NRT,287.71,12.55,D
-28.25027,-60.85131,309.36,1.09,1.04,2025-07-02,1915,Aqua,MODIS,68,6.1NRT,288.68,10.77,D
-28.26999,-61.80486,303.08,1.02,1.01,2025-07-02,1915,Aqua,MODIS,55,6.1NRT,290.83,4.97,D
-27.85525,-59.40198,316.14,1.28,1.12,2025-07-02,1915,Aqua,MODIS,76,6.1NRT,286.42,21.92,D
-27.85746,-59.41463,307.58,1.28,1.12,2025-07-02,1915,Aqua,MODIS,53,6.1NRT,285.5,12.66,D
-28.37406,-62.67519,301.63,1,1,2025-07-02,1915,Aqua,MODIS,47,6.1NRT,290.5,4.43,D
-28.37554,-62.68517,310.1,1,1,2025-07-02,1915,Aqua,MODIS,70,6.1NRT,290.01,9.97,D
-28.10034,-61.90343,303.74,1.02,1.01,2025-07-02,1915,Aqua,MODIS,18,6.1NRT,290.19,5.31,D
-28.1019,-61.91358,324.83,1.02,1.01,2025-07-02,1915,Aqua,MODIS,83,6.1NRT,290.65,23.2,D
-28.77867,-68.20083,311.15,1.69,1.28,2025-07-02,1915,Aqua,MODIS,65,6.1NRT,292.88,16.33,D
-28.76734,-68.20229,308.84,1.69,1.28,2025-07-02,1915,Aqua,MODIS,47,6.1NRT,292.55,12.99,D
-27.56464,-59.74917,305.84,1.24,1.11,2025-07-02,1915,Aqua,MODIS,62,6.1NRT,285.57,12.11,D
